texto_interaccion,intencion_cliente,longitud_texto,contiene_urgencia
soporte tesniso urgente por fabor este... pero rapido,Soporte,53,1
buenos dias duda son mi fastura del serbisio mmm,Facturacion,48,0
ayuda voy a denunciarlos ante el regulador pucha porque de la aplicacion,Reclamos,72,1
oye cuales son los requisitos para contratar ahh porque en el sistema,Ventas,69,0
ayuda quiero dar de alta mi ruc este...,Facturacion,39,0
oye mi internet no funciona pero de la aplicacion,Soporte,49,0
estimados velocidad de internet inestable mmm entonces con mi contrato,Soporte,70,0
hola el servicio de internet esta lento este... entonces para hoy mismo,Soporte,71,0
por favor error en el navegador al abrir la app pucha,Soporte,53,0
no puedo ingresar al sistema pucha,Soporte,34,0
ayuda solusionen este problema son el pago ya mmm,Reclamos,49,1
buenas problemas para ingresar este...,Soporte,38,0
buenas sostos adisionales por astibasion pusa,Ventas,45,0
buenos dias mi modem parpadea sin parar mmm resulta que de la aplicacion,Soporte,72,0
buenas pagina web dice error 500 este... entonces con mi tarjeta,Soporte,64,0
buenas necesito mi comprobante mmm resulta que con mi tarjeta,Facturacion,61,0
hola donde pago mi mensualidad pucha,Facturacion,36,0
buenos dias necesito resetear mi clave de la cuenta pucha,Soporte,57,0
buenos dias error en el link de pago,Facturacion,36,0
hola descuento no aplicado en el recibo ehh pero para hoy mismo,Facturacion,63,0
buenas error en el link de pago,Facturacion,31,0
cuales son las promociones de internet,Ventas,38,0
hola quiero suspender el servicio definitivamente ahh porque con mi tarjeta,Reclamos,75,0
estimados donde reporto mi comprobante ehh,Facturacion,42,0
buenos dias voy a presentar una queja sobre mi cuenta osea,Reclamos,58,1
buenos dias metodos de pago habilitados ahh pero del servicio,Facturacion,61,0
buenas cobro indebido registrado,Facturacion,32,0
buenas quiero afiliar mi pago a debito automatico ahh,Facturacion,53,0
por fabor kuiero afiliar mi pago a debito automatiso mmm,Facturacion,56,0
oye no hay señal en mi zona osea resulta que de la aplicacion,Soporte,61,0
buenos dias kuiero pasarme a postpago o sea sobre mi suenta,Ventas,59,0
el router tiene la luz roja y con mi contrato,Soporte,45,0
buenos dias servicio inestable exijo cancelacion sin penalidad pucha o sea con mi tarjeta,Reclamos,89,0
ola problemas para ingresar mmm,Soporte,31,0
que beneficios tiene el plan premium pucha resulta que en el sistema,Ventas,68,0
hola como adquiero un chip nuevo ehh,Ventas,36,0
oye kue benefisios tiene el plan premium a pero son mi sontrato,Ventas,63,0
buenos dias es la tercera vez que llamo por lo mismo,Reclamos,52,0
descuento no aplicado en el recibo ahh,Facturacion,38,0
por favor su servicio es una porqueria este...,Reclamos,46,0
estimados fasturasion de este mes atrasada e resulta kue para oy mismo,Facturacion,70,0
oye la conexion se cae constantemente pucha porque rapido,Soporte,57,0
buenos dias metodos de pago habilitados este...,Facturacion,47,0
por fabor error en el nabegador al abrir la app este...,Soporte,55,0
buenas que beneficios tiene el plan premium osea,Ventas,48,0
por favor falla de red inalambrica ehh,Soporte,38,0
buenas tengo un problema de conexion con el servicio este...,Ventas,60,0
estimados servicio inestable exijo cancelacion sin penalidad pucha,Reclamos,66,0
hola la conexion se cae constantemente resulta que con mi tarjeta,Soporte,65,0
por favor donde reporto mi comprobante este...,Facturacion,46,0
estimados voy a denunciarlos ante el regulador,Facturacion,46,1
velocidad de internet inestable pucha,Soporte,37,0
costos adicionales por activacion ehh o sea ahora mismo,Ventas,55,0
ayuda cobro indebido registrado mmm,Facturacion,35,0
buenos dias la sonexion se sae sonstantemente pero son mi sontrato,Soporte,66,0
por favor quiero dar de alta mi ruc pero rapido,Facturacion,47,0
buenas se cayo la red este... entonces con mi contrato,Soporte,54,0
oye error en el navegador al abrir la app este...,Soporte,49,0
oye me siento estafado con este plan osea,Reclamos,41,1
buenas sobro indebido registrado este...,Facturacion,40,0
ayuda mi cuenta aparece como suspendida este... o sea con mi tarjeta,Soporte,68,0
estimados kuiero ber mi estado de suenta e,Reclamos,42,0
hola donde pago mi mensualidad,Facturacion,30,0
hola no reconoce mis credenciales ahh,Soporte,37,0
ola kuiero pagar mi resibo osea,Facturacion,31,0
buenos dias tengo un problema de conexion con el servicio,Soporte,57,0
hola exijo hablar con un supervisor por este cobro osea,Reclamos,55,1
buenos dias velocidad de internet inestable mmm o sea de la aplicacion,Soporte,70,0
por favor catalogo de equipos disponibles mmm,Ventas,45,0
ola deseo adkuirir fibra simetrisa a pero para oy mismo,Ventas,55,0
estimados me gustaria agregar cable a mi paquete mmm,Ventas,52,0
ayuda factura duplicada en mi cuenta,Facturacion,36,0
buenas informacion sobre cobertura de planes,Ventas,44,0
estimados soporte tecnico urgente por favor ahh,Soporte,47,1
ayuda duda con el desglose del cobro ahh,Facturacion,40,0
buenas metodos de pago habilitados ehh entonces para hoy mismo,Facturacion,62,0
no recibo correos de verificacion,Soporte,33,0
ayuda el router tiene la luz roja osea,Soporte,38,0
oye es la tercera vez que llamo por lo mismo pucha,Reclamos,50,0
oye se cayo la red pucha,Soporte,24,0
detalles del ciclo de facturacion o sea del servicio,Facturacion,52,0
buenos dias error de login usuario bloqueado pucha,Soporte,50,0
estimados voy a denunciarlos ante el regulador ehh,Reclamos,50,1
oye kue benefisios tiene el plan premium este... pero sobre mi suenta,Ventas,69,0
buenas cuales son las promociones de internet mmm o sea con mi contrato,Ventas,71,0
buenas pago con tarjeta rechazado mmm,Facturacion,37,0
cobro indebido registrado osea resulta que de la aplicacion,Facturacion,59,0
buenos dias necesito resetear mi clave de la cuenta osea porque para hoy mismo,Soporte,78,0
oye solucionen este problema con el pago ya osea pero con mi contrato,Reclamos,69,1
ola sostos adisionales por astibasion este... porkue para oy mismo,Ventas,66,0
por favor el monto de este mes es incorrecto este... o sea con mi tarjeta,Facturacion,73,0
ayuda no reconoce mis credenciales pucha,Soporte,40,0
por fabor falla de red inalambrisa osea,Soporte,39,0
oye soporte con la configuracion del proxy pucha o sea de la aplicacion,Soporte,71,0
hola por que aumento el precio del recibo este... o sea con mi tarjeta,Facturacion,70,0
oye mi cuenta registra saldo a favor pero de la aplicacion,Facturacion,58,0
buenas la pantalla se kueda en blanso este...,Soporte,45,0
necesito resetear mi clave de la cuenta,Soporte,39,0
ayuda soporte con la configuracion del proxy osea,Soporte,49,0
oye no me llego el cobro ahh porque del servicio,Facturacion,48,0
por favor quiero cancelar mi cuenta ya pucha,Reclamos,44,1
reclamar por cobro excesivo ahh,Reclamos,31,0
buenos dias por kue aumento el presio del resibo pusa resulta kue son mi sontrato,Soporte,81,0
ayuda nadie atiende mis reclamos porque con mi contrato,Reclamos,55,0
ayuda no reconoce mis credenciales,Soporte,34,0
buenas quiero afiliar mi pago a debito automatico osea pero rapido,Facturacion,66,0
por favor la pantalla se queda en blanco osea resulta que rapido,Soporte,64,0
buenos dias su serbisio es una porkueria este... o sea son mi tarjeta,Reclamos,69,0
el router tiene la luz roja ehh porque sobre mi cuenta,Soporte,54,0
oye recibo en formato digital por favor pucha o sea del servicio,Facturacion,64,0
hola por que aumento el precio del recibo osea,Facturacion,46,0
buenos dias cuales son los requisitos para contratar mmm resulta que rapido,Ventas,75,0
cambiar mi fecha de vencimiento,Facturacion,31,0
ayuda nadie atiende mis reclamos este... o sea con mi tarjeta,Reclamos,61,0
ayuda me gustaria agregar cable a mi paquete este... pero con mi contrato,Ventas,73,0
estimados asesor de ventas por favor ehh,Ventas,40,0
buenas la pantalla se queda en blanco pucha,Soporte,43,0
estimados falla de red inalambrisa e porkue son mi tarjeta,Soporte,58,0
ayuda catalogo de equipos disponibles mmm y de la aplicacion,Ventas,60,0
estimados mi computador no se conecta al servidor este... pero con mi tarjeta,Ventas,77,0
por favor informacion de planes o sea del servicio,Ventas,50,0
estimados me siento estafado con este plan este...,Reclamos,50,1
buenas su servicio es una porqueria,Reclamos,35,0
buenas su serbisio es una porkueria osea,Reclamos,40,0
buenos dias metodos de pago habilitados,Facturacion,39,0
ayuda costo de instalacion de la fibra mmm resulta que en el sistema,Reclamos,68,0
buenas no recibo correos de verificacion mmm,Soporte,44,0
buenos dias asesor de ventas por favor mmm,Ventas,42,0
por favor costo de instalacion ehh,Ventas,34,0
buenas el internet es una basura ehh,Reclamos,36,1
oye nesesito resetear mi slabe de la suenta osea,Soporte,48,0
hola confirmar si ya ingreso mi pago osea,Facturacion,41,1
estimados aclaracion de cargos adicionales pucha,Facturacion,48,0
por fabor exijo solusion inmediata e y del serbisio,Reclamos,51,0
hola necesito mi comprobante osea pero con mi contrato,Facturacion,54,0
buenas quiero cancelar mi cuenta ya ehh entonces en el sistema,Reclamos,62,1
estimados mi modem parpadea sin parar ehh pero del servicio,Soporte,59,0
buenas se desconecta a cada rato pucha,Soporte,38,0
ayuda quiero contratar el servicio porque rapido,Ventas,48,0
ola olbide mi sontrasena entonses en el sistema,Soporte,47,0
buenos dias voy a presentar una queja sobre mi cuenta mmm,Reclamos,57,1
hola duda con mi factura del servicio ahh,Facturacion,41,0
hola mi computador no se conecta al servidor ahh,Ventas,48,0
el router tiene la luz roja este...,Soporte,35,0
ayuda voy a presentar una queja sobre mi cuenta este...,Reclamos,55,1
no puedo ingresar al sistema este...,Soporte,36,0
olvide mi contrasena pucha,Soporte,26,0
buenos dias kuiero ber mi estado de suenta mmm o sea de la aplisasion,Facturacion,69,0
hola por que aumento el precio del recibo o sea con mi contrato,Facturacion,63,0
buenos dias no reconoce mis credenciales pucha y rapido,Soporte,55,0
por favor metodos de pago habilitados ahh o sea de la aplicacion,Facturacion,64,0
estimados no tengo acceso al portal de clientes ahh,Soporte,51,0
costo de instalacion mmm pero de la aplicacion,Ventas,46,0
buenas error de login usuario bloqueado osea,Soporte,44,0
ayuda metodos de pago habilitados pucha porque con mi tarjeta,Facturacion,61,0
oye solucionen este problema con el pago ya pucha,Reclamos,49,1
buenos dias pago con tarjeta rechazado ehh y rapido,Facturacion,51,0
por favor se desconecta a cada rato ehh resulta que del servicio,Soporte,64,0
buenos dias kue benefisios tiene el plan premium mmm,Ventas,52,0
buenos dias pagina web dice error 500 pucha o sea rapido,Soporte,56,0
duda son el desglose del sobro osea porkue son mi sontrato,Facturacion,58,0
buenas quiero afiliar mi pago a debito automatico,Facturacion,49,0
ola error de login usuario blokueado a,Soporte,38,0
buenos dias es la tercera vez que llamo por lo mismo mmm,Reclamos,56,0
por favor es un robo este cobro de penalidad ahh o sea rapido,Reclamos,61,1
hola planes postpago con gigas libres pucha entonces en el sistema,Ventas,66,0
estimados planes familiares de telefonia ehh,Ventas,44,0
buenos dias me siento estafado con este plan mmm pero para hoy mismo,Reclamos,68,1
estimados error de login usuario blokueado pusa,Soporte,47,0
buenos dias su servicio es una porqueria osea o sea con mi tarjeta,Reclamos,66,0
hola no tengo acceso al portal de clientes pucha,Soporte,48,0
buenos dias necesito resetear mi clave de la cuenta ahh resulta que del servicio,Soporte,80,0
estimados suales son los rekuisitos para sontratar osea,Ventas,55,0
estimados no hay señal en mi zona ehh,Soporte,37,0
buenos dias promociones para clientes nuevos,Ventas,44,0
oye somo adkuiero un sip nuebo a entonses para oy mismo,Ventas,55,0
ayuda mi modem parpadea sin parar mmm,Soporte,37,0
buenas mi transferensia no pasa mmm,Ventas,35,0
hola costos adicionales por activacion osea porque rapido,Ventas,57,0
buenos dias el monto de este mes es incorrecto osea,Facturacion,51,0
ayuda quiero comprar un plan ilimitado pucha porque en el sistema,Ventas,65,0
oye el internet es una basura este... y con mi contrato,Reclamos,55,1
ayuda aplicacion movil no abre se cierra pucha,Soporte,46,0
buenos dias kuiero somprar un plan ilimitado,Ventas,44,0
hola comprar nuevo equipo o sea con mi contrato,Ventas,47,0
buenos dias no puedo ingresar al sistema este... entonces de la aplicacion,Soporte,74,0
ayuda el internet es una basura mmm,Ventas,35,1
ola no resibo sorreos de berifisasion pusa,Soporte,42,0
oye no puedo conectar el wifi ahh,Soporte,33,0
ola mi suenta registra saldo a fabor osea resulta kue para oy mismo,Facturacion,67,0
ayuda el servicio de internet esta lento pucha resulta que ahora mismo,Soporte,70,0
quiero rescindir mi contrato pucha,Reclamos,34,0
ayuda error de login usuario bloqueado mmm,Soporte,42,0
quiero comprar un plan ilimitado ahh y para hoy mismo,Ventas,53,0
por favor velocidad de internet inestable entonces con mi tarjeta,Soporte,65,0
buenos dias su servicio es una porqueria ahh entonces de la aplicacion,Reclamos,70,0
por favor voy a presentar una queja sobre mi cuenta ehh o sea para hoy mismo,Reclamos,76,1
estimados deseo adquirir fibra simetrica pucha porque rapido,Ventas,60,0
estimados quiero solicitar un reembolso de cobro osea porque con mi tarjeta,Facturacion,75,0
estimados error en el navegador al abrir la app este... entonces para hoy mismo,Facturacion,79,0
buenas reclamar por cobro excesivo pucha entonces rapido,Reclamos,56,0
oye el router tiene la luz roja este...,Soporte,39,0
oye es un robo este cobro de penalidad pucha pero con mi tarjeta,Reclamos,64,1
hola el internet es una basura osea porque con mi contrato,Reclamos,58,1
estimados falla tecnica en la red local ahh entonces rapido,Soporte,59,0
buenos dias informasion sobre sobertura de planes mmm y de la aplisasion,Reclamos,72,0
oye es la tersera bes kue llamo por lo mismo mmm o sea para oy mismo,Reclamos,68,0
ayuda no reconoce mis credenciales este...,Soporte,42,0
cuales son las promociones de internet mmm o sea de la aplicacion,Ventas,65,0
ayuda mi modem parpadea sin parar ahh,Soporte,37,0
por fabor sostos adisionales por astibasion este... entonses son mi sontrato,Ventas,76,0
ayuda kue benefisios tiene el plan premium a,Ventas,44,0
costo de instalacion pucha y con mi tarjeta,Ventas,43,0
ayuda servicio inestable exijo cancelacion sin penalidad este...,Reclamos,64,0
estimados problemas para ingresar ahh,Soporte,37,0
estimados soporte tecnico urgente por favor este...,Soporte,51,1
ayuda pagina web dice error 500 pucha entonces para hoy mismo,Soporte,61,0
oye informacion de planes osea,Ventas,30,0
ayuda tengo un problema de conexion con el servicio porque con mi contrato,Soporte,74,0
buenas problemas para ingresar mmm,Soporte,34,0
buenas soporte tecnico urgente por favor osea,Soporte,45,1
falla de red inalambrica osea entonces con mi contrato,Soporte,54,0
buenas error en el navegador al abrir la app ahh,Soporte,48,0
hola error en el navegador al abrir la app ahh o sea sobre mi cuenta,Soporte,68,0
buenas planes postpago con gigas libres ahh,Ventas,43,0
ayuda la pantalla se kueda en blanso a,Soporte,38,0
necesito resetear mi clave de la cuenta ahh y de la aplicacion,Soporte,62,0
estimados pagina web dice error 500 osea,Soporte,40,0
estimados el internet va a paso de tortuga ehh y para hoy mismo,Soporte,63,0
estimados no hay señal en mi zona o sea de la aplicacion,Soporte,56,0
ayuda quiero dar de alta mi ruc osea,Facturacion,36,0
buenos dias la conexion se cae constantemente mmm o sea rapido,Soporte,62,0
quiero rescindir mi contrato,Reclamos,28,0
oye donde reporto mi comprobante mmm,Facturacion,36,0
no puedo conectar el wifi ahh,Soporte,29,0
ayuda quiero suspender el servicio definitivamente pucha,Reclamos,56,0
hola duda con mi factura del servicio pucha,Facturacion,43,0
ayuda falla de red inalambrica ahh porque en el sistema,Soporte,55,0
buenas no hay señal en mi zona mmm,Soporte,34,0
estimados planes postpago con gigas libres ehh,Ventas,46,0
buenos dias recibo en formato digital por favor mmm pero en el sistema,Facturacion,70,0
oye necesito mi comprobante este...,Facturacion,35,0
duda con el desglose del cobro osea y del servicio,Facturacion,50,0
buenos dias necesito resetear mi clave de la cuenta ahh,Soporte,55,0
buenos dias mi computador no se conecta al servidor pucha,Soporte,57,0
ola pagina web dise error 500 e pero aora mismo,Soporte,47,0
hola detalles del ciclo de facturacion ahh,Facturacion,42,0
estimados tengo un problema de conexion con el servicio pucha,Soporte,61,0
oye quiero afiliar mi pago a debito automatico ehh porque del servicio,Facturacion,70,0
por fabor el internet es una basura pusa porkue rapido,Reclamos,54,1
hola pago con tarjeta rechazado ehh,Facturacion,35,0
oye confirmar si ya ingreso mi pago pucha,Facturacion,41,1
buenos dias no puedo ingresar al sistema mmm pero ahora mismo,Soporte,61,0
estimados no reconoce mis credenciales mmm resulta que de la aplicacion,Soporte,71,0
ayuda voy a presentar una queja sobre mi cuenta este... entonces sobre mi cuenta,Reclamos,80,1
por favor duda con el desglose del cobro ehh,Facturacion,44,0
cuanto es mi deuda,Facturacion,18,0
oye no puedo conectar el wifi ehh pero de la aplicacion,Soporte,55,0
ola olbide mi sontrasena e,Soporte,26,0
mi internet no funciona osea,Soporte,28,0
por favor tengo un problema con el servicio es pesimo o sea con mi contrato,Facturacion,75,0
buenas la pantalla se queda en blanco osea pero del servicio,Soporte,60,0
buenos dias falla de red inalambrica este...,Soporte,44,0
mi internet no funsiona pusa o sea sobre mi suenta,Soporte,50,0
buenas mi modem parpadea sin parar resulta que sobre mi cuenta,Soporte,62,0
buenas quiero ver mi estado de cuenta ehh y rapido,Facturacion,50,0
por fabor falla de red inalambrisa a o sea son mi tarjeta,Soporte,57,0
ayuda mi cuenta registra saldo a favor osea,Facturacion,43,0
buenos dias como adquiero un chip nuevo resulta que del servicio,Ventas,64,0
ayuda tengo un problema de conexion con el servicio ehh,Soporte,55,0
por favor llevo dias sin conexion de internet,Reclamos,45,0
buenas me prometieron algo que no cumplen osea o sea en el sistema,Ventas,66,0
estimados quiero pasarme a postpago pucha pero ahora mismo,Ventas,58,0
estimados me interesa el servicio hogar este... pero del servicio,Ventas,65,0
estimados error en el link de pago ehh,Facturacion,38,0
por fabor nesesito mi somprobante,Facturacion,33,0
buenas no puedo ingresar al sistema ahh,Soporte,39,0
estimados mi transferencia no pasa este...,Facturacion,42,0
estimados donde pago mi mensualidad este... porque rapido,Facturacion,57,0
oye no reconoce mis credenciales osea,Soporte,37,0
tienen fibra optica mmm,Ventas,23,0
buenas quiero renovar mi plan este...,Ventas,37,0
quiero rescindir mi contrato mmm,Reclamos,32,0
estimados falla de red inalambrica mmm,Soporte,38,0
hola me siento estafado con este plan este...,Reclamos,45,1
ayuda tengo un problema de conexion con el servicio ehh resulta que de la aplicacion,Soporte,84,0
buenas promociones para clientes nuevos ehh,Ventas,43,0
por favor la conexion se cae constantemente pucha,Soporte,49,0
quiero aumentar la velocidad contratada pucha porque de la aplicacion,Ventas,69,0
no me llego el sobro resulta kue sobre mi suenta,Facturacion,48,0
por fabor se dessonesta a sada rato osea o sea son mi tarjeta,Soporte,61,0
estimados kuiero sontratar el serbisio este... entonses son mi tarjeta,Ventas,70,0
buenos dias la pantalla se queda en blanco o sea sobre mi cuenta,Soporte,64,0
estimados cobro indebido registrado ahh y con mi contrato,Facturacion,57,0
hola el sistema esta caido ehh,Soporte,30,0
buenos dias costo de instalacion de la fibra mmm o sea ahora mismo,Ventas,66,0
buenos dias exijo una debolusion por falta de serbisio e entonses del serbisio,Reclamos,78,0
ayuda no puedo ingresar al sistema ehh o sea con mi contrato,Soporte,60,0
oye kuiero solisitar un reembolso de sobro osea pero aora mismo,Facturacion,63,0
estimados quiero dar de alta mi ruc este... resulta que sobre mi cuenta,Facturacion,71,0
estimados no puedo ingresar al sistema e pero son mi tarjeta,Soporte,60,0
por fabor no me llego el sobro,Facturacion,30,0
por favor no puedo conectar el wifi ahh,Soporte,39,0
ayuda voy a denunciarlos ante el regulador ehh,Reclamos,46,1
ayuda solicitar cotizacion corporativa osea,Ventas,43,0
oye nadie atiende mis reclamos pucha,Reclamos,36,0
estimados se desconecta a cada rato ehh entonces ahora mismo,Soporte,60,0
buenos dias confirmar si ya ingreso mi pago este...,Facturacion,51,1
buenos dias detalles del ciclo de facturacion pucha,Facturacion,51,0
buenas tengo un problema de conexion con el servicio mmm y para hoy mismo,Soporte,73,0
buenos dias kuiero somprar un plan ilimitado mmm resulta kue en el sistema,Ventas,74,0
necesito resetear mi clave de la cuenta ahh y con mi contrato,Soporte,61,0
nadie me da solucion este... porque con mi contrato,Reclamos,51,0
por favor no puedo ingresar al sistema osea o sea de la aplicacion,Soporte,66,0
hola mi cuenta registra saldo a favor osea porque en el sistema,Facturacion,63,0
por favor error de login usuario bloqueado mmm,Soporte,46,0
buenos dias fastura duplisada en mi suenta pusa,Ventas,47,0
por favor no me llego el cobro ahh o sea con mi contrato,Facturacion,56,0
oye su servicio es una porqueria osea,Reclamos,37,0
ayuda no puedo sonestar el wifi osea o sea del serbisio,Soporte,55,0
ayuda error de red al dessargar arsibos a,Soporte,41,0
ayuda error de login usuario bloqueado mmm porque para hoy mismo,Soporte,64,0
buenos dias olvide mi contrasena,Soporte,32,0
oye comprar nuevo equipo osea,Ventas,29,0
ayuda quiero afiliar mi pago a debito automatico ahh porque ahora mismo,Facturacion,71,0
buenas soporte tesniso urgente por fabor e resulta kue en el sistema,Soporte,68,1
buenas quiero cancelar mi cuenta ya este... entonces para hoy mismo,Reclamos,67,1
buenos dias pagina web dice error 500 osea,Soporte,42,0
buenos dias error en el link de pago osea,Facturacion,41,0
cuanto es mi deuda mmm resulta que en el sistema,Facturacion,48,0
por favor informacion de planes este... porque en el sistema,Ventas,60,0
estimados pésima atencion al cliente de este bot este... o sea para hoy mismo,Reclamos,77,0
buenas tengo un problema de conexion con el servicio,Soporte,52,0
oye me gustaria agregar cable a mi paquete pucha porque de la aplicacion,Ventas,72,0
necesito mi comprobante ahh,Facturacion,27,0
ayuda necesito resetear mi clave de la cuenta este...,Soporte,53,0
hola el internet es una basura ehh porque del servicio,Reclamos,54,1
buenas recibo en formato digital por favor este...,Facturacion,50,0
buenas kuiero pagar mi resibo pusa,Facturacion,34,0
ola error de login usuario blokueado este... pero rapido,Soporte,56,0
por favor servicio inestable exijo cancelacion sin penalidad porque para hoy mismo,Reclamos,82,0
estimados cuanto es mi deuda y con mi tarjeta,Facturacion,45,0
buenas suales son los rekuisitos para sontratar pusa y de la aplisasion,Ventas,71,0
hola falla tecnica en la red local mmm,Soporte,38,0
hola quiero pasarme a postpago ehh,Ventas,34,0
estimados olvide mi contrasena,Soporte,30,0
ayuda pésima atencion al cliente de este bot osea y en el sistema,Reclamos,65,0
hola detalles del ciclo de facturacion pucha,Facturacion,44,0
estimados pesimo soporte de la app ahh,Reclamos,38,0
oye falla tecnica en la red local ehh,Soporte,37,0
ayuda se desconecta a cada rato ehh,Soporte,35,0
estimados quiero contratar telefonia fija osea,Ventas,46,0
oye pesimo soporte de la app ehh,Reclamos,32,0
buenas se desconecta a cada rato osea porque ahora mismo,Soporte,56,0
oye error en el link de pago este... o sea con mi contrato,Facturacion,58,0
oye pago pendiente sin procesar,Facturacion,31,0
ayuda necesito mi comprobante porque del servicio,Facturacion,49,0
por fabor detalles del sislo de fasturasion e,Facturacion,45,0
oye falla tecnica en la red local pucha porque con mi tarjeta,Soporte,61,0
oye me prometieron algo que no cumplen este...,Ventas,46,0
buenos dias velocidad de internet inestable osea,Soporte,48,0
buenas quiero ver mi estado de cuenta ehh o sea para hoy mismo,Facturacion,62,0
buenas kuiero renobar mi plan pusa,Ventas,34,0
buenos dias no recibo correos de verificacion osea,Soporte,50,0
hola detalles del ciclo de facturacion ehh,Facturacion,42,0
hola no hay señal en mi zona,Soporte,28,0
buenos dias detalles del sislo de fasturasion este...,Facturacion,53,0
buenos dias promociones para clientes nuevos ehh,Ventas,48,0
por favor no me llego el cobro este...,Facturacion,38,0
estimados el router tiene la lus roja osea,Soporte,42,0
buenos dias metodos de pago habilitados ahh,Facturacion,43,0
estimados precios del paquete pucha,Ventas,35,0
oye como adquiero un chip nuevo ehh pero sobre mi cuenta,Ventas,56,0
buenas quiero darme de baja osea,Reclamos,32,1
estimados el router tiene la luz roja este... entonces en el sistema,Soporte,68,0
el serbisio de internet esta lento,Soporte,34,0
buenos dias mi cuenta aparece como suspendida ahh,Soporte,49,0
buenos dias falla de red inalambrica ahh,Soporte,40,0
oye no recibo correos de verificacion este...,Soporte,45,0
buenas no puedo ingresar al sistema este...,Soporte,43,0
ayuda la pantalla se queda en blanco este... entonces rapido,Soporte,60,0
estimados no recibo correos de verificacion este... resulta que con mi contrato,Soporte,79,0
por favor por que aumento el precio del recibo mmm pero con mi tarjeta,Facturacion,70,0
oye nesesito resetear mi slabe de la suenta e,Soporte,45,0
ayuda aplisasion mobil no abre se sierra osea entonses de la aplisasion,Soporte,71,0
ayuda no reconoce mis credenciales este... pero para hoy mismo,Reclamos,62,0
ayuda mi internet no funciona mmm,Soporte,33,0
estimados soporte tecnico urgente por favor mmm,Soporte,47,1
oye nadie me da solusion este... pero en el sistema,Reclamos,51,0
quiero cancelar mi cuenta ya este... pero ahora mismo,Reclamos,53,1
ayuda quiero pagar mi recibo osea,Facturacion,33,0
estimados aplicacion movil no abre se cierra este... resulta que sobre mi cuenta,Soporte,80,0
buenos dias pago con tarjeta rechazado este...,Facturacion,46,0
ayuda mi transferencia no pasa pucha,Facturacion,36,0
ayuda la pantalla se kueda en blanso a o sea rapido,Soporte,51,0
oye comprar nuevo equipo mmm,Ventas,28,0
ayuda error en el link de pago mmm,Facturacion,34,0
oye descuento no aplicado en el recibo pucha resulta que con mi tarjeta,Facturacion,71,0
buenos dias falla de red inalambrica,Soporte,36,0
ayuda planes familiares de telefonia ahh resulta que para hoy mismo,Ventas,67,0
hola error de login usuario bloqueado pucha,Soporte,43,0
hola la pantalla se queda en blanco ehh,Soporte,39,0
hola quiero darme de baja este...,Reclamos,33,1
por favor quiero ver mi estado de cuenta este... o sea para hoy mismo,Facturacion,69,0
ayuda no puedo ingresar al sistema a,Soporte,36,0
ayuda cuanto es mi deuda mmm,Facturacion,28,0
buenas tengo un problema de conexion con el servicio este... pero ahora mismo,Soporte,77,0
hola no reconoce mis credenciales osea,Soporte,38,0
solucionen este problema con el pago ya mmm,Reclamos,43,1
oye pagar con tarjeta de credito este... y con mi tarjeta,Facturacion,57,0
resibo en formato digital por fabor,Facturacion,35,0
oye quiero pagar mi recibo pucha,Facturacion,32,0
estimados el monto de este mes es incorrecto ahh resulta que del servicio,Facturacion,73,0
buenas precios del paquete este... porque rapido,Ventas,48,0
por favor no puedo conectar el wifi,Soporte,35,0
buenas pesimo soporte de la app pucha o sea con mi contrato,Reclamos,59,0
estimados velocidad de internet inestable ehh,Soporte,45,0
hola cuanto es mi deuda mmm,Facturacion,27,0
estimados me estan cobrando de mas en la factura osea,Reclamos,53,0
buenos dias pesimo soporte de la app ehh,Reclamos,40,0
por favor la pantalla se queda en blanco ehh resulta que con mi tarjeta,Soporte,71,0
hola recibo en formato digital por favor mmm,Facturacion,44,0
ayuda detalles del ciclo de facturacion este... o sea para hoy mismo,Facturacion,68,0
oye su servicio es una porqueria ehh o sea en el sistema,Reclamos,56,0
buenas informacion sobre cobertura de planes osea o sea para hoy mismo,Ventas,70,0
por fabor la sonexion se sae sonstantemente,Soporte,43,0
estimados pago con tarjeta rechazado,Facturacion,36,0
estimados el monto de este mes es incorrecto osea,Facturacion,49,0
estimados mi cuenta registra saldo a favor ehh pero del servicio,Facturacion,64,0
quiero ver mi estado de cuenta pucha,Facturacion,36,0
por favor costos adicionales por activacion mmm y rapido,Ventas,56,0
hola no me carga la pagina web osea,Soporte,35,0
tienen fibra optica mmm o sea del servicio,Ventas,42,0
buenos dias duda son mi fastura del serbisio a resulta kue son mi tarjeta,Facturacion,73,0
buenas quiero pagar mi recibo ehh o sea del servicio,Facturacion,52,0
buenos dias aplicacion movil no abre se cierra este... entonces en el sistema,Soporte,77,0
costo de instalacion resulta que del servicio,Ventas,45,0
el internet va a paso de tortuga y con mi contrato,Soporte,50,0
hola confirmar si ya ingreso mi pago este... o sea con mi tarjeta,Facturacion,65,1
hola el internet va a paso de tortuga ahh,Soporte,41,0
hola pago pendiente sin procesar este... porque con mi contrato,Facturacion,63,0
buenos dias costo de instalacion de la fibra resulta que ahora mismo,Ventas,68,0
ola nadie me da solusion osea,Reclamos,29,0
oye cuales son las promociones de internet este...,Ventas,50,0
por favor tienen fibra optica ehh,Ventas,33,0
buenos dias falla tecnica en la red local ahh y del servicio,Soporte,60,0
